number,attention%
2,100.0
3,100.0
4,90.0
5,85.85786437626905
6,85.85786437626905
7,100.0
8,91.78145584873306
9,100.0
10,90.7379031733141
11,100.0
12,85.85786437626905
13,100.0
14,100.0
15,100.0
16,90.0
17,100.0
18,90.0
19,100.0
20,90.0
21,100.0
22,100.0
23,90.0
24,100.0
25,90.0
26,100.0
27,100.0
28,90.0
29,100.0
30,85.85786437626905
31,100.0
32,100.0
33,85.85786437626905
34,100.0
35,100.0
36,100.0
37,100.0
38,95.85786437626905
39,90.0
40,100.0
41,90.0
42,100.0
43,100.0
44,100.0
45,90.0
46,100.0
47,100.0
48,90.0
49,90.0
50,100.0
51,100.0
52,100.0
53,100.0
54,100.0
55,90.0
56,94.14213562373095
57,100.0
58,95.85786437626905
59,100.0
60,100.0
61,90.0
62,100.0
63,100.0
64,90.0
65,85.85786437626905
66,90.0
67,100.0
68,100.0
69,90.0
70,90.0
71,100.0
72,100.0
73,95.85786437626905
74,90.0
75,97.63932022500211
76,100.0
77,100.0
78,90.0
79,100.0
80,90.0
81,85.85786437626905
82,100.0
83,85.85786437626905
84,100.0
85,90.0
86,90.0
87,100.0
88,95.85786437626905
89,85.85786437626905
90,90.0
91,100.0
92,100.0
93,90.0
94,100.0
95,90.0
96,100.0
97,100.0
98,100.0
99,100.0
100,100.0
101,100.0
102,100.0
103,100.0
104,100.0
105,100.0
106,90.0
107,100.0
108,90.0
109,100.0
110,90.0
111,100.0
112,100.0
113,100.0
114,90.0
115,90.0
116,100.0
117,100.0
118,100.0
119,100.0
120,90.0
121,100.0
122,100.0
123,100.0
124,100.0
125,90.0
126,90.0
127,100.0
128,90.0
129,100.0
130,90.0
131,90.0
132,100.0
133,90.0
134,100.0
135,100.0
136,100.0
137,100.0
138,100.0
139,100.0
140,100.0
141,100.0
142,100.0
143,90.0
144,90.0
145,90.0
146,90.0
147,100.0
148,100.0
149,100.0
150,100.0
151,100.0
152,100.0
153,90.0
154,100.0
155,100.0
156,100.0
157,100.0
158,90.0
159,100.0
160,95.85786437626905
161,100.0
162,100.0
163,85.85786437626905
164,90.0
170,100.0
171,90.0
172,100.0
173,95.85786437626905
174,90.0
175,100.0
176,100.0
177,100.0
178,90.0
179,100.0
180,90.0
181,100.0
182,100.0
183,90.0
184,100.0
185,100.0
186,100.0
187,100.0
188,100.0
189,100.0
190,90.0
191,100.0
192,100.0
193,90.0
194,100.0
195,100.0
196,100.0
197,100.0
198,100.0
199,95.85786437626905
200,95.85786437626905
201,85.85786437626905
202,100.0
203,90.0
204,90.0
205,97.63932022500211
206,100.0
207,100.0
208,100.0
209,100.0
210,100.0
211,100.0
212,100.0
213,100.0
214,90.0
215,95.85786437626905
216,100.0
217,100.0
218,100.0
219,100.0
220,100.0
221,100.0
222,100.0
223,90.0
224,90.0
225,100.0
226,100.0
227,100.0
228,100.0
229,95.85786437626905
230,95.85786437626905
231,100.0
232,100.0
233,100.0
234,100.0
235,100.0
236,100.0
237,100.0
238,100.0
239,100.0
240,100.0
241,100.0
242,100.0
243,100.0
244,100.0
245,100.0
246,100.0
247,90.0
248,90.0
249,100.0
250,90.0
251,100.0
252,100.0
253,90.0
254,90.0
255,100.0
256,90.0
257,100.0
258,90.0
259,100.0
260,100.0
261,100.0
262,90.0
263,90.0
264,100.0
265,100.0
266,87.37940818483156
267,100.0
268,100.0
269,90.0
270,100.0
271,91.78145584873306
272,100.0
273,94.7213595499958
274,100.0
275,100.0
276,70.0
277,100.0
278,100.0
279,100.0
280,90.0
281,100.0
282,100.0
283,85.85786437626905
284,100.0
285,100.0
286,60.0
287,100.0
288,100.0
289,100.0
290,100.0
291,100.0
292,100.0
293,90.0
294,100.0
295,100.0
296,90.0
297,90.0
298,95.85786437626905
